Presence of JS,Presence of NS,Presence of internal JS,Presence of image,Presence of iframe,Presence of links,Number of JS,Number of NS,Number of internal JS,Number of image,Nuber of iframes,Number of links,Number of sms API call,Number of tel API call,Length of URL,Number of forward slash,Number of question marks,Number of dots,Number of hypens,Number of underscore,Number of equal signs,Number of ampersand,Number of digits,World Traffic rank,Country Traffic rank,probability0,probability1,presence of form,No of form,Output
0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,6,0,2,0,0,0,0,1,269840,32626,0.392941602959169,0.607058397040834,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,4,1,1,0,0,3,2,0,0,0,0.313110865529195,0.686889134470808,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,3,0,1,0,0,0,0,3,3978,1070,0.463812713922249,0.53618728607776,0,0,1
1,0,1,0,0,0,4,0,4,0,0,0,0,0,38,3,0,2,1,0,0,0,0,0,0,0.430696368627967,0.56930363137204,0,0,1
1,0,1,0,0,0,1,0,1,0,0,0,0,0,66,3,0,1,9,0,0,0,5,0,0,0.307592959957582,0.692407040042431,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,3,0,3,1,0,0,0,0,0,0,0.405076991946137,0.594923008053864,0,0,1
1,1,1,1,0,1,10,47,10,25,0,998,0,0,60,3,0,1,1,0,0,0,26,0,0,0.999999999993747,6.25345623015499E-12,1,4,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,5,0,1,0,0,0,0,0,0,0,0.418824942164502,0.581175057835504,0,0,1
1,0,1,1,0,1,3,0,3,2,0,5,0,0,32,3,0,1,1,0,0,0,0,0,0,0.45164764766984,0.548352352330156,1,2,1
1,1,1,1,0,1,36,2,36,5,0,33,0,1,112,6,1,2,1,0,0,0,0,0,0,0.195974244633356,0.804025755366655,0,0,1
0,0,0,0,0,1,0,0,0,0,0,1,0,0,172,9,1,3,0,0,1,0,63,0,0,0.008712514478088,0.991287485521904,0,0,1
0,0,0,0,0,1,0,0,0,0,0,1,0,0,139,8,1,3,0,0,1,0,41,0,0,0.040567325823553,0.959432674176449,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,4,0,2,2,0,0,0,0,0,0,0.383018182249704,0.61698181775029,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,3,1,4,2,0,2,1,34,0,0,0.132607555635271,0.867392444364722,0,0,1
1,1,1,1,0,1,1,1,1,2,0,26,0,0,96,3,1,3,1,0,1,0,18,2564456,0,0.002012362163146,0.997987637836861,1,1,1
0,0,0,0,0,1,0,0,0,0,0,1,0,0,46,3,0,3,1,0,0,0,0,0,0,0.391098499884381,0.60890150011562,0,0,1
