Number of JS,Number of NS,Number of external JS,Number of internal JS,Number of image,Nuber of iframes,Number of redirects,Number of links,Number of sms API call,Number of tel API call,Number of apk API call,Length of URL,Number of forward slash,Number of question marks,Number of dots,Number of hypens,Number of underscore,Number of equal signs,Number of ampersand,Number of digits,World Traffic rank,Country Traffic rank,No of form,Output
2,0,0,2,5,0,0,6,0,0,0,37,3,0,2,1,0,0,0,3,6001,2145,0,1
26,1,0,26,1,1,0,0,0,0,0,35,3,0,2,1,0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,0,0,0,0,39,3,0,2,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,34,3,0,2,0,0,0,0,0,0,0,0,1
2,0,0,2,4,0,0,18,0,0,0,38,3,0,1,1,0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,0,0,0,0,59,3,0,2,0,0,0,0,17,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,37,3,0,2,0,0,0,0,0,0,0,0,1
2,0,0,2,4,0,0,18,0,0,0,36,3,0,2,1,0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,0,0,0,0,73,4,1,6,0,0,1,0,15,7498,4879,0,1
11,0,0,11,1,0,0,1,0,0,0,35,3,0,11,0,0,0,0,0,1759903,0,1,1
3,0,0,3,2,0,0,0,0,0,0,73,5,1,5,1,1,2,1,2,0,0,1,1
11,0,0,11,1,0,0,1,0,0,0,38,3,0,11,0,0,0,0,0,1759903,0,1,1
2,0,0,2,4,0,0,16,0,0,0,44,3,0,1,2,0,0,0,0,0,0,1,1
1,1,0,1,2,0,0,26,0,0,0,73,3,1,6,1,0,1,0,5,2564456,0,1,1
3,0,0,3,2,0,0,0,0,0,0,57,4,0,22,1,0,0,0,0,0,0,1,1
3,1,0,3,0,0,0,0,0,0,0,73,5,0,5,2,0,0,0,1,0,0,0,1
10,47,0,10,25,0,0,998,0,0,0,43,3,0,1,0,0,0,0,0,0,0,4,1
0,0,0,0,1,0,0,10,0,0,0,43,4,0,2,1,0,0,0,6,0,0,1,1
11,0,0,11,1,0,0,1,0,0,0,32,3,0,2,0,0,0,0,0,1759903,0,1,1
0,0,0,0,0,0,0,0,0,0,0,43,6,0,2,1,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,51,4,0,4,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,33,3,0,1,0,0,0,0,0,96346,35974,0,1
11,0,0,11,1,0,0,1,0,0,0,33,3,0,5,0,0,0,0,0,1759903,0,1,1
0,0,0,0,0,0,0,0,0,0,0,65,3,0,3,0,0,0,0,17,0,0,0,1
65,1,0,65,19,0,0,117,0,0,0,32,5,0,2,0,0,0,0,0,930973,51019,2,1
0,0,0,0,0,0,0,0,0,0,0,71,4,0,5,2,0,0,0,10,0,0,0,1
0,0,0,0,0,0,0,1,0,0,0,41,5,0,4,2,0,0,0,0,9755251,0,0,1
9,1,0,9,67,0,0,201,0,0,0,28,4,0,4,1,0,0,0,0,1633642,33261,4,1
0,0,0,0,2,0,0,2,0,0,0,73,4,0,4,1,0,1,0,15,0,0,0,1
65,1,0,65,19,0,0,117,0,0,0,31,4,0,2,0,0,0,0,0,930973,51019,2,1
0,0,0,0,0,0,0,0,0,0,0,66,3,0,2,0,0,0,0,18,5376059,0,0,1
0,0,0,0,0,0,0,0,0,0,0,56,3,0,2,0,0,0,0,18,6727685,0,0,1
2,0,0,2,4,0,0,18,0,0,0,27,3,0,1,1,0,0,0,0,0,0,1,1
24,0,0,24,2,0,0,17,0,0,0,40,3,1,1,0,0,1,0,1,429712,0,0,1
0,0,0,0,0,0,0,0,0,0,0,73,4,1,5,0,0,1,0,2,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,54,6,0,5,1,0,0,0,3,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,73,6,1,6,1,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,73,7,0,4,0,0,0,0,12,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,57,3,0,5,3,0,0,0,0,0,0,0,1
79,554,0,79,1169,1,0,1294,0,0,0,27,3,0,1,1,0,0,0,0,0,0,1,1
13,0,0,13,19,3,0,4,0,0,0,40,3,0,2,0,0,0,0,0,0,0,0,1
15,1,0,15,1,0,0,94,0,0,0,57,3,0,7,0,0,0,0,0,0,0,0,1
22,0,0,22,12,0,0,29,0,0,0,73,6,0,7,1,0,0,0,0,8138172,0,0,1
2,0,0,2,0,0,0,0,0,0,0,52,3,0,7,2,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,2,0,0,0,73,6,0,5,0,1,0,0,6,1,1,0,1
0,0,0,0,0,0,0,0,0,0,0,54,6,0,4,0,0,0,0,2,0,0,0,1
0,0,0,0,0,0,0,2,0,0,0,73,6,0,5,0,1,0,0,4,1,1,0,1
14,1,0,14,0,0,0,6,0,0,0,73,6,1,5,1,0,0,0,0,0,0,0,1
2,0,0,2,5,0,0,6,0,0,0,52,3,1,5,1,0,1,0,3,6001,2145,0,1
35,4,0,35,3,2,0,0,0,0,0,34,5,0,1,1,0,0,0,0,2605356,0,0,1
0,0,0,0,0,0,0,0,0,0,0,73,7,1,5,1,0,0,0,6,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,73,4,1,5,0,1,2,1,6,8094126,0,0,1
1,0,0,1,1,0,0,3,0,0,0,53,3,0,4,2,0,0,0,0,4845735,0,0,1
2,0,0,2,4,0,0,15,0,0,0,44,3,0,1,3,0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,0,0,0,0,30,3,0,1,0,0,0,0,0,0,0,0,1
2,0,0,2,5,0,0,6,0,0,0,43,3,0,3,0,0,0,0,3,6001,2145,0,1
39,0,0,39,0,1,0,14,0,0,0,63,4,1,5,0,0,1,0,3,5610231,0,0,1
2,0,0,2,0,0,0,1,0,0,0,35,4,0,1,1,0,0,0,8,0,0,1,1
1,0,0,1,1,0,0,2,0,0,0,35,3,0,2,0,0,0,0,0,0,0,0,1
2,0,0,2,4,0,0,15,0,0,0,30,3,0,1,1,0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,0,0,0,0,30,3,0,1,0,0,0,0,0,0,0,0,1
8,0,0,8,1,0,0,7,0,0,0,55,3,0,5,4,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,73,6,1,5,1,0,0,0,0,8320628,0,0,1
0,0,0,0,0,0,0,0,0,0,0,62,4,0,5,1,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,73,3,1,5,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,73,5,0,5,0,0,0,0,20,0,0,0,1
0,0,0,0,1,0,0,2,0,0,0,73,3,1,6,1,0,0,0,4,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,65,6,0,5,0,0,0,0,5,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,71,4,0,5,2,0,0,0,10,0,0,0,1
2,0,0,2,5,0,0,6,0,0,0,45,3,0,2,1,0,0,0,3,6001,2145,0,1
0,0,0,0,2,0,0,2,0,0,0,73,4,0,4,1,0,1,0,19,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,43,3,0,2,1,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,73,3,1,5,0,0,0,0,1,0,0,0,1
0,0,0,0,0,0,0,2,0,0,0,73,6,0,5,0,0,0,0,6,1,1,0,1
0,0,0,0,0,0,0,0,0,0,0,73,3,1,6,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,73,5,0,6,0,0,0,0,10,7496,1920,0,1
5,0,0,5,2,0,0,36,0,0,0,73,3,1,5,0,0,0,0,0,4371035,0,1,1
2,0,0,2,0,0,0,0,0,0,0,31,3,0,3,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,41,5,0,2,0,0,0,0,0,368607,72484,0,1
