Presence of JS,Presence of NS,Presence of external JS,Presence of internal JS,Presence of image,Presence of iframe,Presence of redirects,Presence of links,Number of JS,Number of NS,Number of external JS,Number of internal JS,Number of image,Nuber of iframes,Number of redirects,Number of links,Number of sms API call,Number of tel API call,Number of apk API call,Number of mms API call,Length of URL,Number of forward slash,Number of question marks,Number of dots,Number of hypens,Number of underscore,Number of equal signs,Number of ampersand,Number of semi-colon,Number of digits,World Traffic rank,Country Traffic rank,Output
1,0,0,1,1,0,0,1,10,0,0,10,37,0,0,153,0,0,0,0,20,2,0,1,0,0,0,0,0,0,377,128,0
1,1,0,1,1,0,0,1,15,1,0,15,2,0,0,49,0,0,0,0,14,2,0,1,0,0,0,0,0,0,5423,5074,0
1,1,0,1,1,1,0,1,71,470,0,71,1005,1,0,949,0,0,0,0,23,2,0,2,0,0,0,0,0,0,231,133,0
1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,17,2,0,1,0,0,0,0,0,0,381,184,0
1,1,0,1,1,0,0,1,23,3,0,23,32,0,0,76,0,0,0,0,19,2,0,1,0,0,0,0,0,0,253,189,0
1,1,0,1,1,0,0,1,12,2,0,12,249,0,0,620,0,0,0,0,27,2,0,1,0,0,0,0,0,0,237,89,0
1,1,0,1,1,1,0,1,28,1,0,28,184,1,0,1037,0,0,0,0,20,2,0,2,0,0,0,0,0,0,1369,1749,0
1,1,0,1,1,0,0,1,115,1,0,115,81,0,0,210,0,0,0,0,17,2,0,1,0,0,0,0,0,0,104,4,0
1,1,0,1,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0,18,2,0,1,0,0,0,0,0,0,991,625,0
1,0,0,1,1,0,0,1,25,0,0,25,108,0,0,156,0,0,0,0,22,2,0,1,0,0,0,0,0,0,297,26,0
1,1,0,1,0,0,0,1,9,1,0,9,0,0,0,40,0,0,0,0,28,2,0,2,0,0,0,0,0,0,1,1,0
1,1,0,1,1,0,0,1,3,1,0,3,2,0,0,3,0,0,0,0,17,2,0,1,0,0,0,0,0,0,270,4,0
