Presence of JS,Presence of NS,Presence of external JS,Presence of internal JS,Presence of image,Presence of iframe,Presence of redirects,Presence of links,Number of JS,Number of NS,Number of external JS,Number of internal JS,Number of image,Nuber of iframes,Number of redirects,Number of links,Number of sms API call,Number of tel API call,Number of apk API call,Number of mms API call,Length of URL,Number of forward slash,Number of question marks,Number of dots,Number of hypens,Number of underscore,Number of equal signs,Number of ampersand,Number of semi-colon,Number of digits,World Traffic rank,Country Traffic rank,Output
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276,9,1,2,0,1,3,2,0,72,0,0,1
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,139,8,1,3,0,0,1,0,0,41,6283718,0,1
1,1,0,1,1,0,0,1,5,1,0,5,5,0,0,15,0,0,0,0,72,5,0,1,0,0,0,0,0,16,0,0,1
1,0,0,1,1,0,0,1,3,0,0,3,2,0,0,16,0,0,0,0,67,7,0,2,0,0,0,0,0,4,0,0,1
1,0,0,1,1,0,0,1,2,0,0,2,4,0,0,16,0,0,0,0,53,4,0,2,2,0,0,0,0,0,0,0,1
1,1,0,1,1,0,0,1,1,1,0,1,2,0,0,26,0,0,0,0,96,3,1,3,1,0,1,0,0,18,4000661,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,6,1,3,1,0,0,0,0,0,0,0,1
1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,51,3,0,2,0,0,0,0,0,3,6202,1817,1
1,0,0,1,1,0,0,1,2,0,0,2,5,0,0,6,0,0,0,0,47,3,0,2,0,0,0,0,0,3,6202,1817,1
1,0,0,1,1,0,0,1,2,0,0,2,5,0,0,6,0,0,0,0,44,3,0,3,1,0,0,0,0,3,6202,1817,1
1,0,0,1,1,0,0,1,2,0,0,2,8,0,0,39,0,0,0,0,41,3,0,2,2,0,0,0,0,0,0,0,1
1,0,0,1,1,1,0,1,156,0,0,156,5,13,0,56,0,0,0,0,56,7,0,2,0,0,0,0,0,0,2246193,0,1
1,1,0,1,0,0,0,1,4,1,0,4,0,0,0,1,0,0,0,0,41,3,0,2,0,0,0,0,0,0,4062,1803,1
1,0,0,1,1,0,0,0,2,0,0,2,1,0,0,0,0,0,0,0,47,6,0,2,0,0,0,0,0,0,6582336,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,3,0,1,2,0,0,0,0,0,0,0,1
1,1,0,1,1,1,0,1,72,2,0,72,3,3,0,29,0,0,0,0,23,2,0,1,0,0,0,0,0,0,3635918,0,1
1,0,0,1,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,77,9,0,1,2,1,0,0,0,6,0,0,1
1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0,38,3,0,2,0,0,0,0,0,0,25324,5310,1
1,0,0,1,1,0,0,1,8,0,0,8,4,0,0,20,0,0,0,0,43,3,1,2,1,0,1,0,0,0,0,0,1
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,39,3,0,2,1,0,0,0,0,0,0,0,1
1,0,0,1,1,0,0,1,2,0,0,2,5,0,0,6,0,0,0,0,72,3,0,2,0,0,0,0,0,4,6202,1817,1
0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,24,3,0,1,0,0,0,0,0,0,0,0,1
1,0,0,1,1,0,0,1,6,0,0,6,8,0,0,76,0,0,0,0,229,5,1,2,0,1,3,2,0,108,0,0,1
1,0,0,1,1,0,0,1,2,0,0,2,4,0,0,13,0,0,0,0,43,3,0,2,2,0,0,0,0,0,0,0,1
1,1,0,1,1,0,0,1,1,1,0,1,2,0,0,26,0,0,0,0,95,3,1,3,1,0,1,0,0,15,7287361,0,1
1,0,0,1,1,0,0,1,2,0,0,2,4,0,0,15,0,0,0,0,49,3,0,3,2,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,3,0,2,0,0,0,0,0,7,99580,48148,1
1,0,0,1,1,0,0,1,2,0,0,2,5,0,0,4,0,0,0,0,34,3,0,2,0,0,0,0,0,7,6202,1817,1
1,1,0,1,1,0,0,1,9,1,0,9,1,0,0,16,0,0,0,0,33,3,0,1,1,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,7,2,3,1,0,3,2,2,41,0,0,1
1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,78,3,1,3,1,0,1,0,0,17,0,0,1
1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0,48,3,0,3,0,0,0,0,0,1,25324,5310,1
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,172,9,1,3,0,0,1,0,0,63,6283718,0,1
1,0,0,1,1,0,0,1,13,0,0,13,7,0,0,2,0,0,0,0,46,3,0,2,1,0,0,0,0,1,0,0,1
1,0,0,1,1,0,0,1,6,0,0,6,10,0,0,22,0,0,0,0,43,5,0,1,0,0,0,0,0,0,0,0,1
1,0,0,1,0,0,0,0,13,0,0,13,0,0,0,0,0,0,0,0,70,4,1,3,0,0,1,0,0,1,29,11,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,6,0,2,0,0,1,0,0,16,2554,41,1
1,0,0,1,1,0,0,0,2,0,0,2,3,0,0,0,0,0,0,0,69,6,0,3,1,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,3,0,1,0,0,0,0,0,0,0,0,1
1,0,0,1,1,0,0,1,37,0,0,37,5,0,0,39,0,0,0,0,30,3,0,1,1,0,0,0,0,1,0,0,1
1,0,0,1,1,0,0,1,3,0,0,3,4,0,0,28,0,0,0,0,68,5,0,1,4,0,0,0,0,20,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,3,0,1,1,0,0,0,0,0,0,0,1
